"CHR","BP","largest_theta","smallest_theta","absolute_theta","theta_range","largest_relative_theta","smallest_relative_theta","absolute_relative_theta","range_relative_theta","min_p","mean_p","log_mean_p","bigest_theta_p","pSNP4","pSNP5","bp_add","bp_cum","P"
"Cexcelsa_scaf_1",50116755,62.6,-5.6,62.6,68.2,1.19281371926322,-0.106705380636966,1.19281371926322,1.29951909990019,9.44299932090358e-87,0.117427806685455,29.4652087469492,9.44299932090358e-87,1.33605028346521e-24,8.0625162117736e-24,0,50116755,1.59744408945687e-09
"Cexcelsa_scaf_1",51756664,62.2955665024631,-2.63546798029557,62.2955665024631,64.9310344827586,1.22752863521646,-0.0519316637546107,1.22752863521646,1.27946029897107,3.61174378557369e-90,0.0896346927966988,30.6810623171654,3.61174378557369e-90,5.19663841043536e-25,9.6160043468866e-25,0,51756664,1.6052506721493e-09
"Cexcelsa_scaf_2",38732798,62.125,0,62.125,62.125,1.48841145833333,0,1.48841145833333,1.48841145833333,4.44607268972681e-113,0.00677292531493949,44.3551533166004,4.44607268972681e-113,7.26939588373918e-40,7.26939588373918e-40,52314543,91047341,1.60965794768612e-09
"Cexcelsa_scaf_4",868320,62.1065989847716,-3.47208121827411,62.1065989847716,65.5786802030457,1.38530344202899,-0.0774456521739131,1.38530344202899,1.4627490942029,7.28363324789577e-98,0.122512382238888,31.6366500157281,7.28363324789577e-98,4.29827415541135e-25,3.91364911944628e-24,140387213,141255533,1.61013485901103e-09
"Cexcelsa_scaf_5",21623495,61.7680412371134,0,61.7680412371134,61.7680412371134,1.27573725114447,0,1.27573725114447,1.27573725114447,7.48573552448334e-101,0.00539183637376732,37.5450488135609,7.48573552448334e-101,1.62194222311328e-32,1.62194222311328e-32,177238162,198861657,1.61896019360761e-09
"Cexcelsa_scaf_1",50116395,61.5458937198068,-4.88888888888889,61.5458937198068,66.4347826086957,1.18954248366013,-0.0944911297852474,1.18954248366013,1.28403361344538,1.47400738426285e-82,0.10162198236658,27.5518019278214,1.47400738426285e-82,7.3720901863185e-23,2.36771583964271e-22,0,50116395,1.62480376766091e-09
"Cexcelsa_scaf_1",40313376,61.4798206278027,0,61.4798206278027,61.4798206278027,1.27038547071905,0,1.27038547071905,1.27038547071905,6.60240655285047e-89,0.00557865946595201,31.9673636374527,6.60240655285047e-89,3.47790679864508e-27,3.47790679864508e-27,0,40313376,1.62654996353027e-09
"Cexcelsa_scaf_1",49349159,61.4181818181818,0,61.4181818181818,61.4181818181818,1.13508064516129,0,1.13508064516129,1.13508064516129,1.20509205812165e-76,0.00501724428365872,32.7957113948834,1.20509205812165e-76,6.15168067598972e-29,6.15168067598972e-29,0,49349159,1.62818235642392e-09
"Cexcelsa_scaf_1",50465510,61.1608040201005,0,61.1608040201005,61.1608040201005,1.33103674540682,0,1.33103674540682,1.33103674540682,6.68229223806724e-93,0.00546483349783377,34.907103948081,6.68229223806724e-93,2.07151373852653e-31,2.07151373852653e-31,0,50465510,1.63503409744475e-09
"Cexcelsa_scaf_4",1435550,61.1263157894737,-6.86315789473684,61.1263157894737,67.9894736842105,1.29044444444444,-0.144888888888889,1.29044444444444,1.43533333333333,9.1650363410203e-90,0.229894809268033,32.1378421480693,9.1650363410203e-90,5.25989144098225e-27,4.1125298985339e-24,140387213,141822763,1.6359566040985e-09
"Cexcelsa_scaf_2",4113991,61.0131578947368,-15.9868421052632,61.0131578947368,77,1.12913961038961,-0.29586038961039,1.12913961038961,1.425,4.45613561185376e-68,0.65439751325966,17.3576118115822,4.45613561185376e-68,1.0777255809503e-13,1.74845154545394e-07,52314543,56428534,1.63899072676299e-09
"Cexcelsa_scaf_4",25724756,60.9302325581395,-2.63255813953488,60.9302325581395,63.5627906976744,1.13419913419913,-0.049004329004329,1.13419913419913,1.18320346320346,6.17632951666598e-88,0.171521713402503,24.1600081966241,6.17632951666598e-88,2.96098532523426e-17,9.85665120405619e-17,140387213,166111969,1.6412213740458e-09
"Cexcelsa_scaf_1",50395734,60.9166666666667,0,60.9166666666667,60.9166666666667,1.30535714285714,0,1.30535714285714,1.30535714285714,4.50467938397401e-90,0.00548095258195655,33.8973512973862,4.50467938397401e-90,3.47242427272422e-30,3.47242427272422e-30,0,50395734,1.64158686730506e-09
"Cexcelsa_scaf_1",48922782,60.8834951456311,0,60.8834951456311,60.8834951456311,1.58659076533839,0,1.58659076533839,1.58659076533839,1.41941201167795e-100,0.00730523739262652,38.5503415601804,1.41941201167795e-100,5.10174321009437e-34,5.10174321009437e-34,0,48922782,1.64248126295647e-09
"Cexcelsa_scaf_4",25718023,60.8447488584475,-2.85388127853881,60.8447488584475,63.6986301369863,1.11134278565471,-0.0521267723102585,1.11134278565471,1.16346955796497,6.13699169074901e-84,0.195991986305692,23.2497570458706,6.13699169074901e-84,1.96673872881095e-16,5.86835257297644e-16,140387213,166105236,1.64352720450281e-09
"Cexcelsa_scaf_2",27497945,60.8372093023256,-9.53488372093023,60.8372093023256,70.3720930232558,1.17036506800286,-0.183428775948461,1.17036506800286,1.35379384395132,7.93203952337457e-86,0.282510347279116,23.5826000420824,7.93203952337457e-86,3.96337969314586e-18,8.14092523363223e-15,52314543,79812488,1.64373088685015e-09
"Cexcelsa_scaf_4",25717693,60.8333333333333,-1.56481481481481,60.8333333333333,62.3981481481482,1.12692967409949,-0.0289879931389365,1.12692967409949,1.15591766723842,2.46277511606034e-86,0.162440357266335,24.0832914325226,2.46277511606034e-86,3.08634083064043e-17,6.84520395761397e-17,140387213,166104906,1.64383561643836e-09
"Cexcelsa_scaf_6",9036358,60.6530612244898,-19.2326530612245,60.6530612244898,79.8857142857143,1.11177614843633,-0.352536286099057,1.11177614843633,1.46431243453539,6.02238735264973e-71,0.455841929535658,19.9502886473483,6.02238735264973e-71,5.95811069250944e-18,1.57333651705708e-10,211107951,220144309,1.64872139973082e-09
"Cexcelsa_scaf_1",50116508,60.5693779904306,-7.08612440191387,60.5693779904306,67.6555023923445,1.16052438577191,-0.135771910524386,1.16052438577191,1.2962962962963,3.65912501260669e-80,0.143373809917375,25.8368516534815,3.65912501260669e-80,1.29972430392663e-21,1.57066655460248e-20,0,50116508,1.65099928904337e-09
"Cexcelsa_scaf_1",50465024,60.4358974358974,-3.5527136788005e-15,60.4358974358974,60.4358974358974,1.34685714285714,-7.91747619846969e-17,1.34685714285714,1.34685714285714,3.57923500617538e-95,0.00556493797572479,37.7771986564192,3.57923500617538e-95,8.5543446552772e-34,8.5543446552772e-34,0,50465024,1.65464573610522e-09
"Cexcelsa_scaf_5",29080210,60.3846153846154,1.77635683940025e-15,60.3846153846154,60.3846153846154,1.25053101104503,3.67873389637902e-17,1.25053101104503,1.25053101104503,2.48468375955241e-102,0.014287908663351,34.8241654808924,2.48468375955241e-102,1.83292216331087e-30,1.83292216331087e-30,177238162,206318372,1.65605095541401e-09
"Cexcelsa_scaf_6",3550296,0,-60.3571428571429,60.3571428571429,60.3571428571429,0,-1.56089193825043,1.56089193825043,1.56089193825043,1,1.98319129046587,-0.296587175636984,1,8.69888637125974e-31,8.69888637125974e-31,211107951,214658247,1.65680473372781e-09
"Cexcelsa_scaf_2",24951067,60.3418367346939,-0.602040816326529,60.3418367346939,60.9438775510204,1.23468002923061,-0.012318613633991,1.23468002923061,1.2469986428646,3.58714737891947e-116,0.0254233561496769,35.1965901304109,3.58714737891947e-116,1.45230280295318e-27,1.63022426649473e-27,52314543,77265610,1.65722499365858e-09
"Cexcelsa_scaf_6",12343078,60.3177570093458,-7.94392523364486,60.3177570093458,68.2616822429907,1.20410447761194,-0.158582089552239,1.20410447761194,1.36268656716418,1.08569732973668e-83,0.239129238364204,27.4523875828115,1.08569732973668e-83,5.02277180984903e-23,1.22499571129688e-19,211107951,223451029,1.65788658196467e-09
"Cexcelsa_scaf_5",29080216,60.296875,0,60.296875,60.296875,1.2699648968846,0,1.2699648968846,1.2699648968846,6.98310627020195e-101,0.0149596752395447,34.7076190832066,6.98310627020195e-101,3.00971563214865e-30,3.00971563214865e-30,177238162,206318378,1.65846074112464e-09
"Cexcelsa_scaf_1",34176848,60.1752577319588,-4.7319587628866,60.1752577319588,64.9072164948454,1.24722222222222,-0.0980769230769231,1.24722222222222,1.34529914529915,5.7443966085585e-94,0.203660614982985,32.628792242109,5.7443966085585e-94,2.71399959678748e-26,3.8632623371068e-24,0,34176848,1.66181257495289e-09
"Cexcelsa_scaf_1",15099517,60.1475409836066,-0.131147540983605,60.1475409836066,60.2786885245902,1.45595238095238,-0.00317460317460314,1.45595238095238,1.45912698412698,1.28784196559619e-107,0.021381205510979,37.899201295678,1.28784196559619e-107,4.89317415035964e-32,5.10380175937204e-32,0,15099517,1.66257835922595e-09
"Cexcelsa_scaf_4",25717980,60.0740740740741,-3.07407407407407,60.0740740740741,63.1481481481482,1.11257823887508,-0.0569321786847295,1.11257823887508,1.1695104175598,5.67788051717065e-84,0.198012125419261,23.897970114716,5.67788051717065e-84,3.98571292118512e-17,1.49531743417972e-16,140387213,166105193,1.66461159062885e-09
"Cexcelsa_scaf_3",11818621,60.0392156862745,0,60.0392156862745,60.0392156862745,1.18132716049383,0,1.18132716049383,1.18132716049383,4.53263001379621e-70,0.00527568717623161,33.0174107611371,4.53263001379621e-70,3.94368068546943e-30,3.94368068546943e-30,96916170,108734791,1.66557805355976e-09
"Cexcelsa_scaf_4",4801887,0.989247311827957,-60.0215053763441,60.0215053763441,61.010752688172,0.0217674198509405,-1.32071453921685,1.32071453921685,1.34248195906779,0.0210889601111103,1.97207499680463,-0.285350366366929,0.0210889601111103,4.6005467717878e-31,6.14367710855158e-31,140387213,145189100,1.66606950913651e-09
"Cexcelsa_scaf_1",50465051,60,0,60,60,1.31868131868132,0,1.31868131868132,1.31868131868132,3.32519929426869e-95,0.0053781126197639,38.8272338154735,3.32519929426869e-95,8.98876104742432e-35,8.98876104742432e-35,0,50465051,1.66666666666667e-09
"Cexcelsa_scaf_1",3023525,59.9701492537313,-8.32835820895522,59.9701492537313,68.2985074626866,1.25067441377879,-0.173687487030504,1.25067441377879,1.4243619008093,2.16529980039416e-84,0.250230787149523,24.5141739827778,2.16529980039416e-84,1.62335729964646e-18,1.59074148406313e-16,0,3023525,1.6674962667994e-09
"Cexcelsa_scaf_4",32991297,59.936170212766,0,59.936170212766,59.936170212766,1.4093808630394,0,1.4093808630394,1.4093808630394,1.17465646461062e-106,0.00971750437709729,46.2451235713548,1.17465646461062e-106,1.40741459803744e-41,1.40741459803744e-41,140387213,173378510,1.66844160454384e-09
"Cexcelsa_scaf_4",4568719,59.8571428571429,-11.047619047619,59.8571428571429,70.9047619047619,1.1924864813585,-0.220092970306423,1.1924864813585,1.41257945166493,5.62606113757345e-84,0.23718106612888,28.115440739122,9.08604054575423e-84,1.91405862893595e-23,2.12097748713851e-19,140387213,144955932,1.67064439140811e-09
"Cexcelsa_scaf_4",25717667,59.7169811320755,-1.65566037735849,59.7169811320755,61.372641509434,1.12673549305803,-0.0312388750444998,1.12673549305803,1.15797436810253,6.4333599821285e-82,0.163415764670979,22.3699647625189,6.4333599821285e-82,5.17471075415534e-16,1.11537267189276e-15,140387213,166104880,1.67456556082148e-09
"Cexcelsa_scaf_1",34183426,59.6166666666667,-2.88333333333333,59.6166666666667,62.5,1.33287790336604,-0.0644640417339461,1.33287790336604,1.39734194509999,2.55722961480321e-90,0.106418215251927,34.3734935182688,2.55722961480321e-90,4.42273958369045e-29,4.78341802643107e-28,0,34183426,1.67738328207996e-09
"Cexcelsa_scaf_4",25718024,59.5714285714286,-3,59.5714285714286,62.5714285714286,1.09811416921509,-0.0553007135575943,1.09811416921509,1.15341488277268,5.09481704972572e-82,0.214948087213948,22.654971885641,5.09481704972572e-82,6.40916657161993e-16,2.13911920551953e-15,140387213,166105237,1.67865707434053e-09
"Cexcelsa_scaf_1",15680680,59.4852941176471,-2.22058823529412,59.4852941176471,61.7058823529412,1.22328629032258,-0.0456653225806453,1.22328629032258,1.26895161290323,2.21700962961108e-86,0.0895557685934484,30.7022134828953,2.21700962961108e-86,1.16607983301225e-25,4.15046104924025e-25,0,15680680,1.68108776266996e-09
"Cexcelsa_scaf_3",240570,59.448275862069,0,59.448275862069,59.448275862069,1.52453942520265,0,1.52453942520265,1.52453942520265,9.30797800885226e-102,0.00667531601788304,37.4737855516138,9.30797800885226e-102,3.11430111193474e-32,3.11430111193474e-32,96916170,97156740,1.68213457076566e-09
"Cexcelsa_scaf_5",23695167,1.4625550660793,-59.4052863436123,59.4052863436123,60.8678414096916,0.0331337325349303,-1.34580838323353,1.34580838323353,1.37894211576846,0.155652440110202,1.95260328883967,-0.283053221362707,0.155652440110202,1.52970907029622e-21,2.02021108470035e-21,177238162,200933329,1.68335187245087e-09
"Cexcelsa_scaf_1",34177695,59.3414634146341,-0.365853658536585,59.3414634146341,59.7073170731707,1.5290346907994,-0.00942684766214178,1.5290346907994,1.53846153846154,3.15600031651602e-105,0.0202330095996109,44.3901192592999,3.15600031651602e-105,8.77543522451784e-40,9.68012808776792e-40,0,34177695,1.68516235100699e-09
"Cexcelsa_scaf_4",8926030,59.2708333333333,-8.39583333333334,59.2708333333333,67.6666666666667,1.340874278308,-0.189937551549429,1.340874278308,1.53081182985743,2.87647844283154e-92,0.208146071625639,27.046755295075,2.87647844283154e-92,4.43897857844744e-22,3.0556723113595e-19,140387213,149313243,1.6871704745167e-09
"Cexcelsa_scaf_4",25717803,59.2253521126761,-1.70892018779343,59.2253521126761,60.9342723004695,1.11243386243386,-0.0320987654320988,1.11243386243386,1.14453262786596,1.0890501391013e-83,0.140419163700813,23.2890957515969,1.0890501391013e-83,8.63704425568943e-17,1.8454049292253e-16,140387213,166105016,1.6884661117717e-09
"Cexcelsa_scaf_4",25717468,59.1944444444444,-1.66666666666667,59.1944444444444,60.8611111111111,1.09619341563786,-0.0308641975308642,1.09619341563786,1.12705761316872,2.71327785457823e-81,0.140110277534313,21.6259402107312,2.71327785457823e-81,2.43058260407403e-15,4.68384304568578e-15,140387213,166104681,1.6893477240732e-09
"Cexcelsa_scaf_1",15099196,59.1612903225806,-1.66129032258065,59.1612903225806,60.8225806451613,1.37138584247258,-0.0385094715852443,1.37138584247258,1.40989531405783,1.12926862992112e-95,0.0441383580190364,32.1626378312005,1.12926862992112e-95,1.39072445883148e-26,2.282657582361e-26,0,15099196,1.69029443838604e-09
"Cexcelsa_scaf_2",37418976,59.0761421319797,0,59.0761421319797,59.0761421319797,1.29311111111111,0,1.29311111111111,1.29311111111111,1.94480782848973e-87,0.00536160843609667,36.272507639397,4.65080340046826e-87,1.76874241621739e-32,1.76874241621739e-32,52314543,89733519,1.69273070974394e-09
"Cexcelsa_scaf_1",49583821,59.0358974358974,-7.07692307692308,59.0358974358974,66.1128205128205,1.28568237659147,-0.154121063211972,1.28568237659147,1.43980343980344,8.67774161525762e-93,0.236827091658447,29.8111713475899,8.67774161525762e-93,1.29112922392765e-24,5.01705995356547e-22,0,49583821,1.69388464211258e-09
"Cexcelsa_scaf_1",49113354,58.9484536082474,-3.03092783505155,58.9484536082474,61.979381443299,1.28134453781513,-0.0658823529411765,1.28134453781513,1.3472268907563,5.34131955382645e-94,0.0688544556492099,33.1023430369609,5.34131955382645e-94,1.85117045869671e-27,3.38142387344712e-27,0,49113354,1.69639734172788e-09
"Cexcelsa_scaf_2",4001813,0.129807692307692,-58.9182692307692,58.9182692307692,59.0480769230769,0.00267671260037672,-1.21493010805988,1.21493010805988,1.21760682066026,0.762311890129191,1.987339813317,-0.29713955325527,0.762311890129191,8.56150949676269e-34,8.87064658403068e-34,52314543,56316356,1.69726642186863e-09
"Cexcelsa_scaf_1",48640639,58.8252427184466,-0.300970873786412,58.8252427184466,59.126213592233,1.21374198717949,-0.00620993589743598,1.21374198717949,1.21995192307692,2.69621073036557e-84,0.0279166183098408,30.8483780785076,2.69621073036557e-84,2.92839504381448e-26,2.97988553967926e-26,0,48640639,1.69995048687902e-09
"Cexcelsa_scaf_1",50630456,58.75,-6.33333333333333,58.75,65.0833333333333,1.22608695652174,-0.132173913043478,1.22608695652174,1.35826086956522,1.60725970082369e-84,0.237908613192228,24.6438345819951,1.60725970082369e-84,3.26551189389121e-19,7.39704320264034e-17,0,50630456,1.70212765957447e-09
"Cexcelsa_scaf_1",48652532,58.72,0,58.72,58.72,1.18018289619134,0,1.18018289619134,1.18018289619134,1.43108524589681e-84,0.00975746054648828,30.9810410159904,1.43108524589681e-84,8.93720820959865e-27,8.93720820959865e-27,0,48652532,1.70299727520436e-09
"Cexcelsa_scaf_1",50824570,58.6631578947368,0,58.6631578947368,58.6631578947368,1.3619257086999,0,1.3619257086999,1.3619257086999,5.64325097247387e-90,0.00560981826721754,32.7744218648745,5.64325097247387e-90,1.98976550530033e-28,1.98976550530033e-28,0,50824570,1.70464740714158e-09
"Cexcelsa_scaf_2",4001814,0.1256038647343,-58.6618357487923,58.6618357487923,58.7874396135266,0.0025974025974026,-1.21308691308691,1.21308691308691,1.21568431568432,0.769783300330123,1.98737799325673,-0.297155836650066,0.769783300330123,8.86223302710389e-34,9.17314303929859e-34,52314543,56316357,1.70468582722556e-09
"Cexcelsa_scaf_3",11797264,58.606334841629,0,58.606334841629,58.606334841629,1.17531760435572,0,1.17531760435572,1.17531760435572,1.2967223358223e-72,0.00492952156721598,36.6385977184952,1.2967223358223e-72,4.31377496363907e-34,4.31377496363907e-34,96916170,108713434,1.70630018529957e-09
"Cexcelsa_scaf_4",25724441,58.5972222222222,-1.90277777777778,58.5972222222222,60.5,1.09650870657541,-0.0356059949753097,1.09650870657541,1.13211470155072,2.69215615197587e-84,0.124233653159607,25.3285411891547,2.69215615197587e-84,1.06229538116577e-18,2.37917054501649e-18,140387213,166111654,1.70656553685708e-09
"Cexcelsa_scaf_1",34188430,58.561797752809,-3.64044943820225,58.561797752809,62.2022471910112,1.31749241658241,-0.0819009100101112,1.31749241658241,1.39939332659252,3.71718547759502e-93,0.13336047017258,34.5411525055302,3.71718547759502e-93,8.47272347096856e-29,1.82922731448094e-27,0,34188430,1.70759785111282e-09
"Cexcelsa_scaf_1",34189031,58.5425531914894,-3.51063829787234,58.5425531914894,62.0531914893617,1.24615036231884,-0.0747282608695652,1.24615036231884,1.32087862318841,6.28619836398851e-93,0.137856484956859,34.0143200015807,6.28619836398851e-93,2.81219718099156e-28,5.47804792353299e-27,0,34189031,1.7081591858986e-09
"Cexcelsa_scaf_2",414412,0,-58.5168539325843,58.5168539325843,58.5168539325843,0,-1.39251336898396,1.39251336898396,1.39251336898396,1,1.99370225889986,-0.299189723597859,1,3.15235410822402e-27,3.15235410822402e-27,52314543,52728955,1.70890937019969e-09
"Cexcelsa_scaf_3",11796402,58.5,0,58.5,58.5,1.25727699530516,0,1.25727699530516,1.25727699530516,9.46202814496095e-78,0.00527601438180163,40.7783583265332,9.46202814496095e-78,7.91753994767311e-38,7.91753994767311e-38,96916170,108712572,1.70940170940171e-09
"Cexcelsa_scaf_6",9036369,58.3856502242152,-18.4035874439462,58.3856502242152,76.7892376681614,1.12610275038921,-0.354955889984432,1.12610275038921,1.48105864037364,4.91861785614372e-69,0.46965730227814,19.6067140805466,4.91861785614372e-69,1.09709026732334e-17,3.34911732049523e-10,211107951,220144320,1.71274961597542e-09
"Cexcelsa_scaf_2",27497705,58.3684210526316,-9.81818181818182,58.3684210526316,68.1866028708134,1.13605885639784,-0.191097038554666,1.13605885639784,1.32715589495251,9.46717081475043e-77,0.381377880629687,20.1433303942781,9.46717081475043e-77,2.82061048451207e-15,7.12857679377674e-12,52314543,79812248,1.71325518485122e-09
"Cexcelsa_scaf_4",24871459,58.2820512820513,-5.94871794871795,58.2820512820513,64.2307692307692,1.19707183484306,-0.122182431009058,1.19707183484306,1.31925426585212,1.20367063883578e-95,0.20942182017282,37.5074410408756,1.20367063883578e-95,2.02890128794489e-31,2.30723455932487e-28,140387213,165258672,1.71579410470744e-09
"Cexcelsa_scaf_1",50465357,58.2539682539683,0,58.2539682539683,58.2539682539683,1.41009221311475,0,1.41009221311475,1.41009221311475,1.17252857631269e-89,0.00574532446507835,35.6019818766973,1.17252857631269e-89,6.72047961327421e-32,6.72047961327421e-32,0,50465357,1.71662125340599e-09
"Cexcelsa_scaf_1",10085640,58.1963190184049,0,58.1963190184049,58.1963190184049,1.42818428184282,0,1.42818428184282,1.42818428184282,9.95327475923891e-85,0.0325467522810981,28.3841290762928,9.95327475923891e-85,2.11849892269572e-22,2.11849892269572e-22,0,10085640,1.71832173729707e-09
"Cexcelsa_scaf_3",11804177,58.1682242990654,0,58.1682242990654,58.1682242990654,1.16718237224566,0,1.16718237224566,1.16718237224566,3.61970146999207e-72,0.00504331438327628,33.8029274267009,2.60544412940495e-71,3.51389422040793e-31,3.51389422040793e-31,96916170,108720347,1.71915167095116e-09
"Cexcelsa_scaf_4",25718061,58.1531531531532,-2.45045045045045,58.1531531531532,60.6036036036036,1.04993493819128,-0.044242029928432,1.04993493819128,1.09417696811971,3.02878150085214e-77,0.176919666019232,21.5494838308137,3.02878150085214e-77,1.31665717017966e-15,3.13456413529389e-15,140387213,166105274,1.71959721146398e-09
"Cexcelsa_scaf_5",33177545,58.139896373057,0,58.139896373057,58.139896373057,1.49493738342659,0,1.49493738342659,1.49493738342659,2.56807577665119e-99,0.00980102091847127,44.2061171677053,2.56807577665119e-99,7.4453227795621e-39,7.4453227795621e-39,177238162,210415707,1.71998930576597e-09
"Cexcelsa_scaf_1",34193647,58.0645161290323,-3.56989247311828,58.0645161290323,61.6344086021505,1.25101355264682,-0.0769141665701379,1.25101355264682,1.32792771921696,2.74083775983211e-94,0.118637870980843,34.2967306582949,2.74083775983211e-94,1.10209593074174e-28,1.51244072977856e-27,0,34193647,1.72222222222222e-09
"Cexcelsa_scaf_4",7993625,3.97894736842105,-58.0473684210526,58.0473684210526,62.0263157894737,0.0987460815047022,-1.44056948798328,1.44056948798328,1.53931556948798,0.000596985687497798,1.81543066615621,-0.136875053175477,0.00559829145281822,2.79959843009155e-22,9.35357192579747e-21,140387213,148380838,1.72273098195666e-09
"Cexcelsa_scaf_4",5258011,58,-1.60869565217391,58,59.6086956521739,1.29013539651838,-0.0357833655705995,1.29013539651838,1.32591876208897,2.76687536095775e-87,0.0883075287672573,30.1413879868622,2.76687536095775e-87,1.21443774275203e-23,1.77563690274203e-23,140387213,145645224,1.72413793103448e-09
"Cexcelsa_scaf_4",25724445,57.962962962963,-1.96296296296296,57.962962962963,59.9259259259259,1.08464004158364,-0.0367322186606601,1.08464004158364,1.1213722602443,1.03917995071339e-83,0.130482765546584,24.9294505172551,1.03917995071339e-83,3.09201134433087e-18,7.13496535431842e-18,140387213,166111658,1.72523961661342e-09
"Cexcelsa_scaf_6",2320034,0,-57.9583333333333,57.9583333333333,57.9583333333333,0,-1.23002100143694,1.23002100143694,1.23002100143694,1,1.98923299116314,-0.297859206134781,1,7.14534183912572e-32,7.14534183912572e-32,211107951,213427985,1.72537742631201e-09
"Cexcelsa_scaf_3",4317685,57.868932038835,-0.315533980582524,57.868932038835,58.1844660194175,1.26108113826299,-0.00687612398180472,1.26108113826299,1.26795726224479,3.26300632152222e-77,0.0559864837862291,26.4603435709996,3.26300632152222e-77,8.29274701860356e-22,8.71217087200377e-22,96916170,101233855,1.72804294941700e-09
"Cexcelsa_scaf_3",11796989,57.8279069767442,0,57.8279069767442,57.8279069767442,1.19940189079684,0,1.19940189079684,1.19940189079684,6.68836468769639e-74,0.00506954523165071,36.6893240823704,2.1846887793843e-73,6.58313589014402e-34,6.58313589014402e-34,96916170,108713159,1.72926888120325e-09
"Cexcelsa_scaf_4",25717729,57.8139534883721,-2.75348837209302,57.8139534883721,60.5674418604651,1.07581789856327,-0.0512376666089666,1.07581789856327,1.12705556517223,1.19104029619388e-74,0.216277537464389,20.140187719341,1.19104029619388e-74,1.79026548538743e-14,5.08615825873639e-14,140387213,166104942,1.72968624296058e-09
"Cexcelsa_scaf_1",50809912,57.785,-4.635,57.785,62.42,1.1651376146789,-0.0934570017138825,1.1651376146789,1.25859461639278,7.71806936808135e-85,0.10402715369527,25.3139010793979,7.71806936808135e-85,1.5566181336103e-20,4.75883008021189e-20,0,50809912,1.73055291165527e-09
