ID,In VCF?,As,Ca,Cd,Co,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Se,Sr,Zn
ALSTON_2,n,0.261700252,667.8616961,0.474911014,0.041350945,2.336554358,50.86154176,19.25204581,0.002892437,14.80837603,7.478903634,0.006751305,7.423261333,0.44689091,3.303384692,0.332175259,52.13824189,0.242160095,2.926486801,96.70864687
ALSTON_3,n,0.224571591,606.2969783,0.46949936,0.041543223,2.415266459,49.56656994,17.69894007,0.003723391,14.35743446,7.681373602,0.008038445,3.270627681,0.457890448,3.642180056,0.343766605,58.36042207,0.397076445,2.8241721,85.06851892
ARD_1,n,3.620987921,639.6637998,0.087913207,0.173542942,1.37116298,641.0734369,379.864609,0.088767064,856.4159782,11.44474089,0.365296474,4762.386442,1.563605151,35.46648284,0.174156432,1098.024251,0.512398752,8.196107571,5.437142132
ARD_2,n,4.288079703,725.1642213,0.110612138,0.194258945,1.629085932,685.3606518,393.2785895,0.088908505,792.7101941,13.04692139,0.397247725,5054.042745,1.785745077,47.87960449,0.181993188,1160.268645,0.490452903,8.875870282,9.785211924
ARD_3,n,3.277104266,731.3751865,0.098813942,0.196178096,1.603053671,687.0808855,408.8340597,0.0897347,1022.471383,13.73396023,0.440300759,5406.991989,1.744616384,40.8812655,0.18283773,1045.595998,0.526204867,9.286978285,5.088307101
AUV_1,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_2,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_3,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_4,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_5,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_6,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_7,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
AUV_8,Imp,27.33236206,10104.74429,0.233360842,29.4707025,28.00503316,58548.75469,18464.02174,22.72251786,15041.30025,704.0983105,1.619964014,5848.072254,93.5888264,1863.625712,104.3971874,486.127139,0.66744463,100.6850585,112.4065704
BAN_1,n,2.129610401,451.1273582,0.155062206,0.272856782,9.982176488,261.4479145,1028.083409,0.210127014,1211.104915,102.5976746,0.120699198,11575.1284,1.510506306,128.2798055,0.646365917,2303.598558,0.876065499,4.795075474,65.97454233
BAN_2,n,1.523701494,446.5198766,0.133936122,0.274347333,9.467591818,247.6721213,1050.685815,0.223102465,1258.8522,99.05747673,0.117801393,11668.65655,1.442412535,103.1441801,0.648863691,1837.533642,0.763602256,4.980183221,48.5977318
BAN_3,n,1.837007321,461.0435309,0.155496053,0.287206421,9.959884362,254.3015106,1102.734425,0.221038431,1299.258408,101.3539035,0.12645965,11402.73355,1.487596955,119.3168083,0.673726372,1977.551995,0.877596291,5.008546571,59.35451508
BEA_10,Avg,0.609801177,584.7906794,3.698673546,2.319509045,1164.321955,12.27099164,480.0642335,0.002091512,104.3113827,133.5444722,0.37319998,158.600011,3.386504288,124.6154159,1.556442243,403.4960064,5.168058808,0.418701486,2568.343652
BEA_1a,n,0.616426453,598.9255675,3.502061333,2.325750688,1075.823695,13.4215865,490.2958926,0.002190335,105.9160364,134.8643667,0.379121681,167.8429058,3.392947039,121.2321154,1.538358104,410.8487374,5.739146309,0.449524308,2234.277663
BEA_1b,n,0.598968954,603.3280752,3.235438646,2.376323846,1138.606384,12.3066219,487.4255312,0.002354741,107.2819965,136.4453742,0.377814403,162.9906447,3.366992151,107.9314182,1.587796174,387.3235456,4.868283826,0.426855454,1461.500678
BEA_1c,n,0.614008124,552.1183956,4.35852066,2.256452601,1278.535785,11.08476652,462.4712766,0.00172946,99.73611515,129.3236756,0.362663855,144.9664824,3.399573675,144.6827141,1.54317245,412.3157361,4.89674629,0.379724696,4009.252615
BEA_2,Avg,0.609801177,584.7906794,3.698673546,2.319509045,1164.321955,12.27099164,480.0642335,0.002091512,104.3113827,133.5444722,0.37319998,158.600011,3.386504288,124.6154159,1.556442243,403.4960064,5.168058808,0.418701486,2568.343652
BEA_4,Avg,0.609801177,584.7906794,3.698673546,2.319509045,1164.321955,12.27099164,480.0642335,0.002091512,104.3113827,133.5444722,0.37319998,158.600011,3.386504288,124.6154159,1.556442243,403.4960064,5.168058808,0.418701486,2568.343652
BEI_1,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_10,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_2,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_3,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_4,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_5,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_6,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_7,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_8,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BEI_9,Imp,7.08849989,14723.39939,0.26916677,12.76886206,32.25219931,44450.64863,6743.033716,8.755521522,9072.105299,413.1303303,0.998620492,7960.050362,51.29998943,1599.188227,19.68698434,1617.612747,2.398829173,158.061451,60.26967648
BLA_1,n,0.81331011,556.9134375,0.156048957,0.732593737,4.377122116,1030.865781,90.02360475,0.010228545,125.8551104,182.9007878,0.035389336,136.4657089,2.473081748,44.77458979,0.022726165,67.78557471,0.877655829,3.182310598,10.96595688
BLA_2,n,0.789297087,533.631185,0.168327725,0.745575335,4.095343033,964.8054169,82.48932215,0.010128985,118.3042461,175.0530015,0.032641029,125.231355,2.287783971,42.73592896,0.02388288,55.70532702,0.71487087,3.215185645,14.57065653
BLA_3,n,0.90115302,457.8216056,0.255598474,0.815690474,4.588577609,895.2062143,87.82211582,0.009813756,119.4105344,209.9365604,0.03575219,129.3443011,2.637263678,41.8150078,0.024405784,67.67884561,0.847325643,3.134220523,23.34454365
BNK*_1,n,0.194629941,77.16614549,11.9402702,0.132095787,3.296557725,11.67289789,36.37054626,0.002637733,79.41645267,3.875979886,0.0083855,2.289785767,2.442129853,7.234434825,0.532922855,-9.313132586,0.207804465,0.278361038,2647.167936
BNK*_2,n,0.142193542,100.5742797,9.53551697,0.132902208,3.263032799,11.71940543,35.67247194,0.002699507,82.07245566,4.268134721,0.009146841,2.004259025,2.454571734,5.664181043,0.528670876,-6.911378335,0.169205353,0.294650418,1802.399178
BNK*_3,n,0.172778443,93.05494609,10.4799013,0.118917051,3.194538479,11.04971127,32.08499423,0.002739001,73.16587924,4.072454045,0.008045227,1.289290926,2.241557748,6.722180672,0.498097832,-2.896649811,0.228342459,0.257002722,2582.448925
BNK_21,Avg,0.201797839,96.60847083,6.529285054,0.074168265,3.163861833,12.08640088,26.10628341,0.002965688,53.68619421,2.76292132,0.00686699,1.100121634,1.799003505,3.344562799,0.676274042,2.566949192,0.244609583,0.268003729,1861.496186
BNK_X_1,n,0.25709471,105.5670521,6.436454291,0.039119615,3.365644321,13.48873832,19.08550371,0.001260348,54.5101619,2.184265491,0.006660517,1.592983792,1.861092801,2.601195066,0.87820103,-3.006493768,0.322113541,0.306028879,2346.420478
BNK_X_2,n,0.174543825,136.6539056,4.810964934,0.043318264,3.114626509,12.95464925,20.06746541,0.001540192,54.81329276,2.327254274,0.006862575,1.045766736,1.846367153,1.856058415,0.915767775,2.710412155,0.233465256,0.349639124,1391.663462
BNK_X_3,n,0.17182034,114.4813914,5.234443606,0.043058679,3.000795381,11.62264176,18.47431626,0.001387057,54.71650419,2.199772562,0.006883317,0.568324672,1.825828612,1.994203952,0.912069424,0.722284533,0.352314169,0.303718427,1603.226562
BNK2_1,n,0.314349137,77.44896413,3.910747615,0.05176579,3.289651003,15.14276437,22.57883745,0.004343778,27.77681566,2.642296401,0.005056853,1.662018431,1.191064315,1.894129401,0.592414487,19.57552432,0.300979172,0.207831042,1856.380088
BNK2_2,n,0.180215497,104.4899697,2.92264431,0.055450868,3.049310597,11.77785039,26.42746539,0.005367811,30.12276528,1.826778508,0.005555413,-0.459128357,1.194215662,0.986872516,0.640534678,13.26577096,0.172658328,0.248853625,1059.075465
BNK2_3,n,0.208555115,60.0395833,3.492622256,0.050886125,2.900599687,9.348949254,24.19495002,0.004715769,26.58142051,1.469355992,0.005206664,-0.09220629,1.134203666,1.147809304,0.587787418,8.956205258,0.214603504,0.165948286,1464.683584
BPC2,n,0.1,748.9,0.2,0.8,3.2,109.2,872.3,0.1,957.2,69.7,0,1205.4,26.5,29,0.6,37.6,0,8.4,32.7
BPS2,n,0.1,612.7,0,0.4,3.3,48.4,230.4,0.2,704,9,0,1671.7,0.6,3.1,0,41.8,0.1,5.9,0.6
BPS7,n,0.1,506.7,0,0.1,3.4,126.3,227.3,0.1,483,6.6,0,1025.3,1.8,5.1,0.1,8.3,0,6.1,0.8
BPS9,n,0.1,790.1,0.1,0.7,2.6,296.9,232.1,0,820.4,55.9,0.1,1490.2,3.4,19.7,0.2,91.6,0,8.4,4
BRD_1,n,1.194723789,718.2143939,0.03303907,0.24434841,2.106677798,299.0154072,459.7541026,0.089094543,555.923644,152.737023,0.432848431,4197.407548,1.148565699,39.64952554,0.168731142,318.1791434,0.688390955,7.396251823,10.93666265
BRD_2,n,1.300464889,720.513507,0.036113712,0.243887421,2.158804943,310.5706157,470.4340785,0.089176854,553.3716559,157.3988559,0.438576676,4313.401375,1.151391267,43.50823736,0.170969912,335.8212789,0.40918816,7.276386156,9.193999751
BRD_3,n,1.764765336,658.6881377,0.047406831,0.250732527,2.300280092,286.0095668,485.0732532,0.080435641,559.8182354,123.4091814,0.456272487,4312.005598,1.198596604,57.24949445,0.180693196,353.8612111,0.448529677,7.167484347,15.56254778
BRE_1,y,0.1,880.6,0.3,0.4,42.1,83.7,75.2,0,96.8,49.2,0,1800.7,0.7,22.7,0.1,34.9,0,4.1,59.2
BRE_2,y,0.1,926.9,0.4,0.4,24.3,82.4,76.5,0,75,65.2,0.1,2074.1,1.8,23.8,0.1,52.6,0,4.7,53
BRE_3,y,0.1,900.2,0.5,0.4,30.6,77.2,112.2,0,176.1,38.5,0.1,1570.1,0.8,26.9,0.1,81,0,3.8,63.5
BRE_4,Avg,0.1,902.5666667,0.4,0.4,32.33333333,81.1,87.96666667,0,115.9666667,50.96666667,0.066666667,1814.966667,1.1,24.46666667,0.1,56.16666667,0,4.2,58.56666667
BRI_1,n,0.205251439,634.2609632,0.006230546,0.019075364,0.727305761,27.41694304,75.28500988,0.026693102,193.5602207,2.313830292,0.009745452,1738.835542,0.191002042,44.99295613,0.008584803,213.8268221,0.087303428,3.690457252,30.17653192
BRI_2,y,0.149825955,581.541129,0.002885537,0.018643068,0.758511193,26.98579471,76.35206685,0.029437026,198.5397684,2.340467044,0.010577237,1807.494759,0.188658836,33.20988778,0.01028552,204.6474077,0.117263226,3.97789604,3.177857857
BRI_3,n,0.191459313,557.1013405,0.003684754,0.016651216,0.75339529,22.47617131,73.75477085,0.026630363,186.917884,2.318653832,0.010340483,1685.89262,0.180115674,40.23902922,0.009563501,203.7966816,0.057021281,3.688354363,2.775569845
BRI_5,Avg,0.182178902,590.9678109,0.004266946,0.018123216,0.746404081,25.62630302,75.13061586,0.02758683,193.0059577,2.324317056,0.010221057,1744.074307,0.186592184,39.48062438,0.009477941,207.4236371,0.087195978,3.785569218,12.04331987
BRI_6,Avg,0.182178902,590.9678109,0.004266946,0.018123216,0.746404081,25.62630302,75.13061586,0.02758683,193.0059577,2.324317056,0.010221057,1744.074307,0.186592184,39.48062438,0.009477941,207.4236371,0.087195978,3.785569218,12.04331987
BRI_9,Avg,0.182178902,590.9678109,0.004266946,0.018123216,0.746404081,25.62630302,75.13061586,0.02758683,193.0059577,2.324317056,0.010221057,1744.074307,0.186592184,39.48062438,0.009477941,207.4236371,0.087195978,3.785569218,12.04331987
CAKILE_(1)_1,n,0.202304493,267.4974939,0.001274023,0.018938871,0.066897804,9.924285478,15.62761722,0.004059959,14.50476463,1.891292006,0.001536694,20.5647826,0.023302335,4.57804829,0.01432847,-13.98365087,-0.014859556,1.01990735,1.192094785
CAKILE_(1)_2,n,0.123410608,276.1723461,0.001421942,0.018454089,0.040905626,8.472538254,13.10838682,0.004247452,12.14404912,1.515294599,0.001098147,17.83622793,0.020992532,3.756821319,0.013162852,3.158586763,-0.001662236,0.910349315,2.105076508
CAKILE_(1)_3,n,0.265687714,268.8281092,0.001657175,0.027873864,0.080048994,31.81021847,16.22428279,0.023482067,15.17264773,2.044314605,0.001752318,14.23831625,0.050872702,5.832869581,0.031014488,-6.657430632,0.03151007,0.84076022,1.318130605
CAS_1,n,3.403697302,1129.668473,0.236862504,0.057319171,7.344188445,217.2605771,578.6352508,0.03312191,507.6664348,2.79275786,0.268679249,2269.012032,0.909877818,255.9021933,0.205301614,1047.197394,0.259936102,13.97205594,34.81612704
CAS_2,n,2.688109296,1175.367244,0.228321447,0.073888789,8.001487459,228.2101717,860.4296851,0.026444367,551.981078,3.156633197,0.320391216,2724.492736,1.054756517,203.0492041,0.218870896,1069.940758,0.242550543,13.80168401,102.9921405
CAS_3,n,3.940333158,1046.853345,0.295322499,0.069989663,9.034158702,238.046908,702.9660057,0.02495063,573.3242498,3.449246142,0.323721496,2866.450457,1.105839246,270.4434553,0.226270326,1298.644352,0.193160035,13.38391563,43.53149512
CEZ_1,n,1.376930743,490.3066469,0.229783504,0.636967692,6.129561145,531.0883942,165.0969269,0.01160352,110.9198324,28.23389359,0.07201857,19.35732147,4.486679932,28.92501683,0.421170379,31.70558934,0.582461605,2.728661216,11.96268548
CEZ_2,n,1.445835036,464.5989607,0.237556784,0.608012371,6.166600081,516.349217,161.8404597,0.011795381,104.0832998,27.3057302,0.071523071,8.285957225,4.357039243,32.0669071,0.433680881,34.4578249,0.488408736,2.540512354,13.72207787
CEZ_3,n,1.096878349,557.0976697,0.180509141,0.56296299,5.405009625,477.7867115,145.8356523,0.005538987,98.59019828,26.52730921,0.066914626,14.08731672,3.795524669,22.43756563,0.377238692,38.86118129,0.540001816,3.030801856,9.793898016
CHA_1,y,0.595311344,416.5042538,2.325564742,0.205368805,6.331054274,431.3193468,49.55737395,0.000464726,34.23223819,180.5980186,0.041131008,29.08086783,6.876468379,17.65515221,0.108569728,34.71607655,4.097163183,0.926912082,76.89757294
CHA_2,y,0.620278188,441.2223432,1.590027661,0.225582229,5.850567951,474.3430818,51.70980013,0.002850944,36.25618865,200.8796697,0.043585027,31.27959057,6.598426403,16.25293668,0.117045768,43.84621456,4.207890228,0.936347571,38.44454821
CHA_3,n,0.695085279,420.0777429,2.47962862,0.231875881,6.574107552,475.9126397,49.44314983,0.000402432,34.16680813,213.1638549,0.043915742,28.50863194,7.22911713,22.84770619,0.11714844,40.39643638,3.904956254,0.867793292,80.6434882
CHT_1,Avg,0.4,898.3,44.25,0.15,2.2,14.8,271.95,0,59.5,3.1,0.05,101.5,3.45,37.85,0.3,59.1,0.1,1.7,991.8
CHT_2,y,0.4,969.7,57.9,0.2,2.4,11.9,282.4,0,82.8,4.9,0,19.6,3.2,41.7,0.2,37.3,0.1,1.6,1150.4
CHT_3,Avg,0.4,898.3,44.25,0.15,2.2,14.8,271.95,0,59.5,3.1,0.05,101.5,3.45,37.85,0.3,59.1,0.1,1.7,991.8
CHT_5,Avg,0.4,898.3,44.25,0.15,2.2,14.8,271.95,0,59.5,3.1,0.05,101.5,3.45,37.85,0.3,59.1,0.1,1.7,991.8
CHTb,n,0.4,826.9,30.6,0.1,2,17.7,261.5,0,36.2,1.3,0.1,183.4,3.7,34,0.4,80.9,0.1,1.8,833.2
CoA,n,1.5,601.2,0,0.2,1.3,85.5,49,0,132.4,10.7,0,3.6,2.7,20.2,0.1,4.8,0,1.8,1
COW_1,n,0.185105735,596.7466921,0.013101475,0.030151507,1.369839847,90.49123228,74.29322999,0.092685081,226.3118884,3.113859807,0.014915335,72.47245601,0.224178582,55.58949822,0.053490573,34.65855296,0.169575523,5.097434818,11.74507451
COW_2,n,0.142043841,601.8941736,0.008685128,0.032119165,1.3063393,93.9666682,74.17696046,0.094778364,226.1686383,3.215465767,0.015316831,72.20886293,0.212903223,43.63980482,0.052234436,50.7145079,0.130221382,4.939413295,6.152790155
COW_3,n,0.224971738,651.3188282,0.01688077,0.04175059,1.836625306,115.2865546,88.81828883,0.111648043,276.9919924,4.037128035,0.020386072,85.21892625,0.300215232,67.03088953,0.064993293,63.06667949,0.209716808,5.557857077,14.1904493
CRO_1,n,0.364951574,673.3472977,0.154086756,0.26128232,2.377230135,92.66394108,273.2476478,0.04481443,452.2393811,88.91019837,0.028907566,1952.909549,0.61429802,19.79184838,0.206865482,160.3497144,0.246498071,5.215125173,18.54726641
CRO_2,n,0.294135605,681.2642059,0.124371023,0.25856743,2.227389895,92.00054918,277.8235984,0.046028873,458.2480392,109.3973675,0.027244744,2046.846446,0.592364853,15.33704149,0.2091409,148.9794658,0.433612953,5.254998683,13.81717325
CRO_3,n,0.356923259,723.7649948,0.143112011,0.262188736,2.367687988,94.41422013,272.2199511,0.057960494,467.0345348,92.41495476,0.027834535,2011.049382,0.613773874,18.22056031,0.200838332,156.724897,0.432455515,5.683293688,15.65181419
CUM_1,Imp,13.7465875,4758.110557,0.295821412,14.11079837,28.13107694,35300.91046,10919.29881,15.11957594,5962.809111,595.8289541,1.088355109,7601.081009,35.24234556,1397.684123,45.9725322,481.1582711,0.858549591,103.5303133,110.5201611
DAR_1,Imp,16.62227385,2873.386304,0.529095267,17.05614604,29.34231805,27812.97054,9071.283669,13.22808153,2292.006568,535.2933433,1.042277819,2757.883407,27.88823632,1075.855444,47.39424311,578.1972074,0.68597352,65.63158607,149.3107955
DAR_3,Imp,16.62227385,2873.386304,0.529095267,17.05614604,29.34231805,27812.97054,9071.283669,13.22808153,2292.006568,535.2933433,1.042277819,2757.883407,27.88823632,1075.855444,47.39424311,578.1972074,0.68597352,65.63158607,149.3107955
DIE_1,Imp,16.06529015,23415.41549,0.410124816,18.15434359,28.21900582,40849.55691,15273.29267,26.02820556,18611.27521,961.3132413,0.96499626,10825.77559,66.41762882,1269.043747,83.7350166,450.078533,0.436415849,110.8339155,121.5555023
DIE_2,Imp,16.06529015,23415.41549,0.410124816,18.15434359,28.21900582,40849.55691,15273.29267,26.02820556,18611.27521,961.3132413,0.96499626,10825.77559,66.41762882,1269.043747,83.7350166,450.078533,0.436415849,110.8339155,121.5555023
DIE_3,Imp,16.06529015,23415.41549,0.410124816,18.15434359,28.21900582,40849.55691,15273.29267,26.02820556,18611.27521,961.3132413,0.96499626,10825.77559,66.41762882,1269.043747,83.7350166,450.078533,0.436415849,110.8339155,121.5555023
DOT_1,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_2,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_3,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_4,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_5,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_6,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_7,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
DOT_8,Imp,8.736589095,7893.721382,0.259234364,9.172896198,9.625348107,31090.96199,15538.28677,13.9702561,7658.051893,611.7475734,1.001227271,15533.17847,21.07021995,1368.0919,71.01665483,407.0416142,0.578338082,191.3624766,72.08537573
